[15:39:48] [INFO] received Windows console close event; shutting log-core down
[15:41:55] [INFO] received Windows console close event; shutting log-core down
[15:43:12] [INFO] received Windows console close event; shutting log-core down
[15:47:12] [INFO] received Windows console close event; shutting log-core down
[15:50:06] [INFO] received Windows console close event; shutting log-core down
[15:50:49] [INFO] received Windows console close event; shutting log-core down
[15:52:16] [INFO] received Windows console close event; shutting log-core down
[15:56:22] [INFO] received Windows console close event; shutting log-core down
[16:17:26] [INFO] received Windows console close event; shutting log-core down
[16:22:36] [INFO] received Windows console close event; shutting log-core down
[16:24:29] [INFO] received Windows console close event; shutting log-core down
[16:28:35] [INFO] received Windows console close event; shutting log-core down
[16:30:47] [INFO] received Windows console close event; shutting log-core down
[16:31:59] [INFO] received Windows console close event; shutting log-core down
[16:33:34] [INFO] received Windows console close event; shutting log-core down
[16:34:44] [INFO] received Windows console close event; shutting log-core down
[16:41:24] [INFO] received Windows console close event; shutting log-core down
[16:45:51] [INFO] received Windows console close event; shutting log-core down
[16:49:29] [INFO] received Windows console close event; shutting log-core down
[16:51:22] [INFO] received Windows console close event; shutting log-core down
[16:55:52] [INFO] received Windows console close event; shutting log-core down
[16:59:26] [INFO] received Windows console close event; shutting log-core down
[16:59:55] [INFO] received Windows console close event; shutting log-core down
[17:01:41] [INFO] received Windows console close event; shutting log-core down
[17:03:43] [INFO] received Windows console close event; shutting log-core down
[17:06:33] [INFO] received Windows console close event; shutting log-core down
[17:07:41] [INFO] received Windows console close event; shutting log-core down
[17:17:23] [INFO] received Windows console close event; shutting log-core down
[17:18:33] [INFO] received Windows console close event; shutting log-core down
[17:21:11] [INFO] received Windows console close event; shutting log-core down
[17:25:48] [INFO] received Windows console close event; shutting log-core down
[17:26:31] [INFO] received Windows console close event; shutting log-core down
[17:35:30] [INFO] received Windows console close event; shutting log-core down
[17:37:42] [INFO] received Windows console close event; shutting log-core down
[17:40:17] [INFO] received Windows console close event; shutting log-core down
[17:42:01] [INFO] received Windows console close event; shutting log-core down
